pid,grp,duration
301,Sent like,-99
302,Pre-like status,104
302,Sent like,-99
303,Pre-like status,104
303,Sent like,-99
304,Pre-like status,104
304,Sent like,-99
305,Pre-like status,104
305,Sent like,-99
306,Pre-like status,104
306,Sent like,-99
307,Pre-like status,105
307,Sent like,-99
308,Pre-like status,105
308,Sent like,-99
309,Pre-like status,105
309,Sent like,4
309,Match,1
309,Conversation in app,-99
310,Pre-like status,105
310,Sent like,-99
311,Pre-like status,106
311,Sent like,-99
312,Pre-like status,106
312,Sent like,-99
313,Pre-like status,106
313,Sent like,-99
314,Pre-like status,106
314,Sent like,-99
315,Pre-like status,106
315,Sent like,-99
316,Pre-like status,106
316,Sent like,1
316,Match,1
316,Conversation in app,4
316,First date,7
316,Second date,7
316,Dating,46
316,Ended,-99
317,Pre-like status,106
317,Sent like,-99
318,Pre-like status,106
318,Sent like,-99
319,Pre-like status,106
319,Sent like,-99
320,Pre-like status,106
320,Sent like,-99
321,Pre-liked me status,107
321,Liked me,-99
322,Pre-like status,107
322,Sent like,-99
323,Pre-like status,107
323,Sent like,1
323,Match,1
323,Conversation in app,-99
324,Pre-liked me status,107
324,Liked me,-99
325,Pre-like status,107
325,Sent like,-99
326,Pre-like status,107
326,Sent like,-99
327,Pre-like status,107
327,Sent like,-99
328,Pre-like status,107
328,Sent like,-99
329,Pre-like status,107
329,Sent like,-99
330,Pre-like status,108
330,Sent like,-99
331,Pre-like status,108
331,Sent like,-99
332,Pre-like status,108
332,Sent like,-99
333,Pre-like status,108
333,Sent like,-99
334,Pre-liked me status,108
334,Liked me,1
334,Match,1
334,Conversation in app,-99
335,Pre-liked me status,108
335,Liked me,-99
336,Pre-like status,109
336,Sent like,-99
337,Pre-like status,109
337,Sent like,-99
338,Pre-like status,109
338,Sent like,-99
339,Pre-like status,110
339,Sent like,-99
340,Pre-liked me status,110
340,Liked me,1
340,Match,-99
341,Pre-like status,110
341,Sent like,-99
342,Pre-like status,111
342,Sent like,-99
343,Pre-like status,111
343,Sent like,-99
344,Pre-liked me status,111
344,Liked me,-99
345,Pre-liked me status,111
345,Liked me,-99
346,Pre-liked me status,112
346,Liked me,-99
347,Pre-liked me status,112
347,Liked me,-99
348,Pre-like status,112
348,Sent like,-99
349,Pre-liked me status,112
349,Liked me,-99
350,Pre-like status,112
350,Sent like,-99
351,Pre-like status,112
351,Sent like,-99
352,Pre-like status,112
352,Sent like,-99
353,Pre-like status,112
353,Sent like,-99
354,Pre-like status,112
354,Sent like,-99
355,Pre-like status,112
355,Sent like,-99
356,Pre-liked me status,113
356,Liked me,-99
357,Pre-like status,113
357,Sent like,1
357,Match,-99
358,Pre-like status,113
358,Sent like,-99
359,Pre-like status,113
359,Sent like,-99
360,Pre-like status,113
360,Sent like,-99
361,Pre-like status,113
361,Sent like,-99
362,Pre-like status,113
362,Sent like,1
362,Match,1
362,Conversation in app,3
362,First date,-99
363,Pre-like status,113
363,Sent like,-99
364,Pre-like status,113
364,Sent like,-99
365,Pre-like status,113
365,Sent like,1
365,Match,1
365,Conversation in app,-99
366,Pre-like status,113
366,Sent like,-99
367,Pre-like status,113
