loss,likelihood,loss_event,color
105585.5856,0.4081,Ransomware,'#8dd3c7'
105945.9459,0.40568,Ransomware,'#8dd3c7'
106306.3063,0.40315,Ransomware,'#8dd3c7'
106666.6667,0.40073,Ransomware,'#8dd3c7'
107027.027,0.39842,Ransomware,'#8dd3c7'
107387.3874,0.39677,Ransomware,'#8dd3c7'
107747.7477,0.39391,Ransomware,'#8dd3c7'
108108.1081,0.39127,Ransomware,'#8dd3c7'
108468.4685,0.38808,Ransomware,'#8dd3c7'
108828.8288,0.38566,Ransomware,'#8dd3c7'
109189.1892,0.38335,Ransomware,'#8dd3c7'
109549.5495,0.38126,Ransomware,'#8dd3c7'
109909.9099,0.37994,Ransomware,'#8dd3c7'
110270.2703,0.3773,Ransomware,'#8dd3c7'
110630.6306,0.37543,Ransomware,'#8dd3c7'
110990.991,0.37323,Ransomware,'#8dd3c7'
111351.3513,0.37158,Ransomware,'#8dd3c7'
111711.7117,0.3685,Ransomware,'#8dd3c7'
112072.0721,0.36597,Ransomware,'#8dd3c7'
112432.4324,0.36388,Ransomware,'#8dd3c7'
112792.7928,0.36113,Ransomware,'#8dd3c7'
113153.1531,0.35871,Ransomware,'#8dd3c7'
113513.5135,0.35739,Ransomware,'#8dd3c7'
113873.8739,0.35453,Ransomware,'#8dd3c7'
114234.2342,0.35178,Ransomware,'#8dd3c7'
114594.5946,0.34903,Ransomware,'#8dd3c7'
114954.9549,0.34793,Ransomware,'#8dd3c7'
115315.3153,0.34518,Ransomware,'#8dd3c7'
115675.6757,0.34287,Ransomware,'#8dd3c7'
116036.036,0.34012,Ransomware,'#8dd3c7'
116396.3964,0.33858,Ransomware,'#8dd3c7'
116756.7567,0.33627,Ransomware,'#8dd3c7'
117117.1171,0.33363,Ransomware,'#8dd3c7'
117477.4775,0.33143,Ransomware,'#8dd3c7'
117837.8378,0.32901,Ransomware,'#8dd3c7'
118198.1982,0.32637,Ransomware,'#8dd3c7'
118558.5585,0.32439,Ransomware,'#8dd3c7'
118918.9189,0.32197,Ransomware,'#8dd3c7'
119279.2793,0.32021,Ransomware,'#8dd3c7'
119639.6396,0.31812,Ransomware,'#8dd3c7'
120000,0.31647,Ransomware,'#8dd3c7'
120360.3603,0.31394,Ransomware,'#8dd3c7'
120720.7207,0.31229,Ransomware,'#8dd3c7'
121081.0811,0.31042,Ransomware,'#8dd3c7'
121441.4414,0.30844,Ransomware,'#8dd3c7'
121801.8018,0.30613,Ransomware,'#8dd3c7'
122162.1621,0.30415,Ransomware,'#8dd3c7'
122522.5225,0.30272,Ransomware,'#8dd3c7'
